Entity,WCC_ID,WCC_Size
http://homosaurus.org/v2/intercourse,0,45
http://purl.obolibrary.org/obo/GSSO_004152,0,45
http://homosaurus.org/v2/sexBody,0,45
https://queerlit.dh.gu.se/qlit/v1/hh96dh44,0,45
http://www.wikidata.org/entity/Q608,0,45
https://homosaurus.org/v3/homoit0000560,0,45
https://homosaurus.org/v3/homoit0001267,0,45
http://www.wikidata.org/entity/Q48277,0,45
https://homosaurus.org/terms/gender,0,45
https://homosaurus.org/terms/sexuality,0,45
http://purl.obolibrary.org/obo/NCIT_C28421,0,45
https://queerlit.dh.gu.se/qlit/v1/jy58jm84,0,45
http://homosaurus.org/v2/sexAct,0,45
http://id.loc.gov/authorities/subjects/sh85120549,0,45
http://homosaurus.org/v2/sexuality,0,45
http://homosaurus.org/v2/fucking,0,45
https://queerlit.dh.gu.se/qlit/v1/ss55ax39,0,45
http://www.wikidata.org/entity/Q123851226,0,45
http://homosaurus.org/v2/gender,0,45
http://www.wikidata.org/entity/Q5873,0,45
http://purl.obolibrary.org/obo/GSSO_000419,0,45
http://www.wikidata.org/entity/Q98040930,0,45
http://purl.obolibrary.org/obo/GSSO_000103,0,45
http://www.wikidata.org/entity/Q4042967,0,45
http://purl.obolibrary.org/obo/GSSO_002414,0,45
https://homosaurus.org/v3/homoit0000459,0,45
http://www.wikidata.org/entity/Q290,0,45
http://purl.obolibrary.org/obo/NCIT_C17357,0,45
http://id.loc.gov/authorities/subjects/sh85120560,0,45
http://purl.obolibrary.org/obo/GSSO_000756,0,45
http://www.wikidata.org/entity/Q182353,0,45
http://purl.obolibrary.org/obo/GSSO_000414,0,45
http://www.wikidata.org/entity/Q154136,0,45
http://id.loc.gov/authorities/subjects/sh00002547,0,45
http://www.wikidata.org/entity/Q3043188,0,45
http://id.loc.gov/authorities/subjects/sh85120739,0,45
https://homosaurus.org/v3/homoit0001306,0,45
https://homosaurus.org/v3/homoit0000662,0,45
http://www.wikidata.org/entity/Q123851605,0,45
http://homosaurus.org/v2/sexualIntercourse,0,45
https://homosaurus.org/v3/homoit0001269,0,45
http://www.wikidata.org/entity/Q31928,0,45
http://purl.obolibrary.org/obo/GO_0019953,0,45
https://queerlit.dh.gu.se/qlit/v1/fa06ki05,0,45
https://queerlit.dh.gu.se/qlit/v1/sq10os38,0,45
http://homosaurus.org/v2/transgenderism,1,36
